peptide_id	protein_id	c1_rep1	c1_rep2	c1_rep3	c1_rep4	c1_rep5	c2_rep1	c2_rep2	c2_rep3	c2_rep4	c2_rep5	c3_rep1	c3_rep2	c3_rep3	c3_rep4	c3_rep5
pept147	prot0	1740.9124596984127	0.0	1393.2600166245522	4685.8746358978215	513.3936047141274	502.10910072561035	949.4621387627856	0.0	3006.548317036645	671.8911145145232	4123.628100602153	11583.385622758638	3114.882409766068	2812.034141472775	2195.5505299140923
pept424	prot0	3668.876134456676	0.0	0.0	303.0117907655697	1314.3824322599469	404.82876312606936	3723.6046066124613	11838.405382459443	7586.141804831713	0.0	336.3633296311248	0.0	200.42572826407365	3891.6307070817174	1395.146624112437
pept631	prot0	0.0	3138.4590609928473	3409.9060685465633	1712.6399476280267	987.4880507239557	0.0	8197.162348240816	0.0	2067.9771261832325	1111.8720355630176	9229.125063543304	0.0	19303.065269712388	2427.1033736865043	491.1958097313755
pept711	prot0	4162.600686756949	0.0	1958.9110853707025	0.0	0.0	4633.3906266401045	4621.174113259581	0.0	1006.5176120562276	0.0	3583.7128672712215	4424.8882219639745	98.46525610914175	13290.917335900333	2079.6112200383977
pept72	prot0	1011.822647591077	0.0	457.34241050659773	347.18588759647474	9.1252418922228	1309.179749080204	792.9916481813532	10517.60733069197	1134.8616198050618	3550.36268286802	863.3349347792603	1318.8262960573966	4722.702888862208	40756.93681279706	0.0
pept836	prot0	0.0	1831.5255452449444	0.0	2294.102740218868	2480.119436753471	0.0	7496.702207756656	914.3679347659519	383.0981677850301	1838.2171301651324	1450.032704573553	649.818951333067	254.32811285382508	1106.4880618734442	324.043478917112
pept843	prot0	1377.5826904175096	0.0	308.00318256661444	436.5093949846467	1594.5840908710256	659.0920058300127	549.1761643423844	10963.219162574824	1262.1011433267563	189.73798161689405	0.0	0.0	215.72807939474924	575.5980359562493	2732.228534342977
pept896	prot0	11738.850097570272	1098.7930308450686	273.7102483956796	3688.7234828588576	360.18434954266223	1108.7983799755773	0.0	4020.4474743306214	0.0	3489.1497409884105	2089.0186437295097	403.83096799167174	3837.421299960194	583.701523104138	1607.6754211593657
pept946	prot0	43.091510174259334	3710.309683022003	734.659747144855	3387.212661999814	2575.8694781092927	468.12473054845043	0.0	628.559337523351	0.0	763.3869403280955	430.8569847020584	87.3288551964737	0.0	3296.982557596079	0.0
pept956	prot0	0.0	333.11876421469464	65.49223778686977	0.0	1012.2288388475595	1820.345572823784	3647.7756454850974	397.3883897727043	0.0	3861.928567300287	0.0	170.22260041931258	9277.292821150362	535.6434510843867	0.0
pept326	prot1	3120.618799463196	0.0	4475.766714640642	786.7872883886363	407.8342603068707	495.71363634064795	0.0	2792.5341393688564	1406.6604003206355	107.68296827994753	515.8073296207112	701.0523333155213	0.0	2007.7923932310325	450.4591215264763
pept413	prot1	4894.35645143774	35826.82959799915	709.9851608832985	454.61855732324534	2372.41192791486	1736.1495685309137	7002.011697000786	197.60047056533534	260.1738875076674	0.0	1206.831831108493	107.00976513445842	1973.4940453869467	1876.5292688692157	686.7940105948876
pept420	prot1	0.0	5493.052640269668	7573.834091949768	0.0	0.0	0.0	684.8780689925844	875.7719519201706	1058.9796569052312	0.0	3318.409850132667	19540.862831691607	482.79446328849735	5809.590011376394	6355.400919632889
pept519	prot1	9955.931104629555	0.0	1419.0812856400626	0.0	102.34173678079891	0.0	0.0	77.33239579603304	514.7456341962668	4079.0780213209614	508.5871820608486	2996.560811909157	1442.2325486833636	0.0	18951.18082723607
pept628	prot1	4270.1617287015215	301.55439513087265	0.0	0.0	0.0	0.0	0.0	982.2084865791321	1299.3384413235265	0.0	3066.002632856992	192.24712430395186	43.26426193476205	381.2390141710983	681.0128533399438
pept66	prot1	80.41008580403467	7549.506209184252	1054.1089126367276	46.95275317340967	0.0	0.0	856.4865868299725	8238.720511781456	330.7925150565948	10319.300306410152	1141.8275029009355	4590.539097773696	193.82369133272206	1459.9191764177924	240.26530712062726
pept662	prot1	634.4580125681296	0.0	10430.988864111681	2526.980645209941	2739.8755406121104	0.0	459.4572049404542	426.1026336831116	14038.608476690713	984.2904838891229	934.8069385311098	0.0	0.0	1504.2280548109047	661.7853971472032
pept864	prot1	2688.594495611095	71.71088109697703	228.5226897462045	1285.2077845335577	383.9339513632421	0.0	661.6660416914393	598.1603104718931	578.3320124964755	12820.408037999294	98.63360582441484	714.1256898932876	0.0	373.4049525044848	0.0
pept888	prot1	82.23466308550378	421.72487644871916	0.0	72.359287121002	0.0	3733.281105556688	7658.437227159222	204.03940710931656	0.0	5943.8420391051395	2583.42747982851	1882.0836521651172	1044.667559604159	172.57701178397807	5789.1448789750775
pept980	prot1	241.2321809784366	887.9939587035267	3134.166635073582	215.18072163699196	0.0	833.7684478179568	23.887058116886326	0.0	2813.3890494682355	212.9232683545098	1512.5813424398516	4643.647908680174	0.0	0.0	2994.909966443014
pept131	prot10	973.4434393131854	22989.789616742957	2937.9997486097045	0.0	300.032628652166	2563.00880406334	2209.0229808467975	1828.660559255108	483.7531947001283	899.0264570727154	0.0	1049.5795791002222	0.0	1252.7043812382174	0.0
pept186	prot10	136.27437891350627	297.6060256620052	1138.2865823361979	0.0	0.0	0.0	127.71055075802747	0.0	1768.8699126563092	262.98456517701203	0.0	585.3355372389066	0.0	2460.6225147006617	471.12338862053036
pept403	prot10	613.7473603259521	140.81490515649259	476.4133775611919	0.0	8957.727371687348	4953.949628206238	4365.607105443951	248.51094408407226	3462.231537077206	0.0	1800.4364087316383	1331.515039155835	1703.4248802186182	32.861534036037234	1488.8516118911514
pept599	prot10	2335.9642367071774	1126.7824754659644	7301.3115013128945	935.5562382571786	0.0	117.39606278798294	0.0	0.0	23706.755563517043	0.0	0.0	225.36023189477885	1073.6079944236644	0.0	161.09685357719755
pept623	prot10	413.96322172870543	511.1967931182759	705.4490562181352	265.0258321024982	369.6333924248469	2232.004028876349	1095.0615188388563	252.2708155142027	0.0	5570.433105101481	3906.120701571737	905.056358247904	1980.236685151765	1575.4682313273854	210.02887846781368
pept687	prot10	8207.784666991756	1235.4472709822094	751.4909203751663	0.0	287.02899939575195	0.0	0.0	0.0	0.0	1366.728106270361	417.0697412825781	0.0	0.0	431.2546659175967	1149.7612801758628
pept743	prot10	1014.9224902220403	2487.6037109093545	3158.4740596249994	706.6127647375381	3898.3884133119855	167.47722122877713	5358.442351206645	473.71482576147935	842.5846152081216	4262.029161393446	795.3323046032461	2459.442748024913	332.92309786626976	202.71828281862915	2575.138285575178
pept873	prot10	39.19359452403025	0.0	2137.177306759729	428.7467658461849	3362.1897150274085	40311.83814381421	93.33699662800699	2138.544400412159	0.0	0.0	537.6245769966001	1489.2121729239695	52.94242418619801	10301.83593267527	278.88326499998294
pept966	prot10	345.32436408671043	3897.9609510427954	273.2631354562074	50.40338300804928	857.3318077468756	394.34531436692697	3260.392159503372	0.0	549.2507510721958	775.9693523222643	283.2879202439858	174.5819219700511	0.0	1251.0360494102636	1034.3217967840926
pept979	prot10	966.7126603043497	19688.193336483837	1567.6923379811883	459.56404400195237	0.0	161.0616747696134	0.0	351.7193824390318	279.450230641485	95.76611194474322	1595.181372523537	2846.3681577590983	576.1656396804233	1189.346733026594	740.6502345321642
pept15	prot11	207.47280065016255	3507.60117045923	725.1633901589919	0.0	0.0	2087.144512513842	140.48726682349528	956.253330072778	0.0	1827.294406035726	0.0	0.0	10702.732362393235	840.1199252780847	777.9983182992614
pept204	prot11	8350.068327709221	2876.047568248526	6274.9919279187425	3201.0022656356277	256.53005051560626	0.0	0.0	0.0	0.0	1441.631334608508	921.2021068506639	802.1441646009766	0.0	1341.0385884584502	2782.4124792825573
pept261	prot11	0.0	0.0	4843.334283425234	236.39204719432152	3828.776156674955	0.0	133.8491341561808	9235.791653365137	275.4363704003366	0.0	469.54267762123965	0.0	0.0	89.61449918652336	0.0
pept292	prot11	0.0	0.0	1256.2770618682175	195.78748139990654	0.0	0.0	537.5758951124766	414.8651617933145	286.2412256560284	0.0	769.6897918236243	586.1488713155846	0.0	5373.796819054334	5617.861969369684
pept330	prot11	579.3761702214556	6413.089963125312	1223.9729371658827	0.0	1467.9340723557584	133.66005419621914	240.970367768613	1258.247081253052	915.2663926579653	0.0	709.0340434067011	97.13539841078888	5752.135811508002	36.173997771623924	1138.7994637720492
pept563	prot11	84.11388188514272	410.816902972426	353.8102325705414	115.41725529069654	493.5921185844192	0.0	0.0	147.1453278004041	2448.137723297747	35770.666877401185	242.7104794572822	0.0	27.390146981537285	289.0752821795274	0.0
pept583	prot11	0.0	3107.967182575575	808.2289118529693	1558.4834620150366	781.826999743646	644.1347432212939	75.88161996895748	0.0	502.1527793666082	1088.3136839409503	739.9246409989726	2171.271845509846	4002.580069423566	2676.7715573578403	7703.503085650979
